13 6 6
12.8567 7.40909 6
NaN NaN NaN
13 6 21
12.8567 7.40909 21
NaN NaN NaN
13 6 6
13 6 21
NaN NaN NaN
12.8567 7.40909 6
12.4327 8.76049 6
NaN NaN NaN
12.8567 7.40909 21
12.4327 8.76049 21
NaN NaN NaN
12.8567 7.40909 6
12.8567 7.40909 21
NaN NaN NaN
12.4327 8.76049 6
11.7453 9.99888 6
NaN NaN NaN
12.4327 8.76049 21
11.7453 9.99888 21
NaN NaN NaN
12.4327 8.76049 6
12.4327 8.76049 21
NaN NaN NaN
11.7453 9.99888 6
10.8228 11.0735 6
NaN NaN NaN
11.7453 9.99888 21
10.8228 11.0735 21
NaN NaN NaN
11.7453 9.99888 6
11.7453 9.99888 21
NaN NaN NaN
10.8228 11.0735 6
9.70275 11.9405 6
NaN NaN NaN
10.8228 11.0735 21
9.70275 11.9405 21
NaN NaN NaN
10.8228 11.0735 6
10.8228 11.0735 21
NaN NaN NaN
9.70275 11.9405 6
8.43114 12.5643 6
NaN NaN NaN
9.70275 11.9405 21
8.43114 12.5643 21
NaN NaN NaN
9.70275 11.9405 6
9.70275 11.9405 21
NaN NaN NaN
8.43114 12.5643 6
7.05999 12.9193 6
NaN NaN NaN
8.43114 12.5643 21
7.05999 12.9193 21
NaN NaN NaN
8.43114 12.5643 6
8.43114 12.5643 21
NaN NaN NaN
7.05999 12.9193 6
5.64546 12.991 6
NaN NaN NaN
7.05999 12.9193 21
5.64546 12.991 21
NaN NaN NaN
7.05999 12.9193 6
7.05999 12.9193 21
NaN NaN NaN
5.64546 12.991 6
4.24543 12.7765 6
NaN NaN NaN
5.64546 12.991 21
4.24543 12.7765 21
NaN NaN NaN
5.64546 12.991 6
5.64546 12.991 21
NaN NaN NaN
4.24543 12.7765 6
2.91724 12.2846 6
NaN NaN NaN
4.24543 12.7765 21
2.91724 12.2846 21
NaN NaN NaN
4.24543 12.7765 6
4.24543 12.7765 21
NaN NaN NaN
2.91724 12.2846 6
1.71526 11.5354 6
NaN NaN NaN
2.91724 12.2846 21
1.71526 11.5354 21
NaN NaN NaN
2.91724 12.2846 6
2.91724 12.2846 21
NaN NaN NaN
1.71526 11.5354 6
0.688693 10.5596 6
NaN NaN NaN
1.71526 11.5354 21
0.688693 10.5596 21
NaN NaN NaN
1.71526 11.5354 6
1.71526 11.5354 21
NaN NaN NaN
0.688693 10.5596 6
-0.120426 9.39711 6
NaN NaN NaN
0.688693 10.5596 21
-0.120426 9.39711 21
NaN NaN NaN
0.688693 10.5596 6
0.688693 10.5596 21
NaN NaN NaN
-0.120426 9.39711 6
-0.678975 8.09554 6
NaN NaN NaN
-0.120426 9.39711 21
-0.678975 8.09554 21
NaN NaN NaN
-0.120426 9.39711 6
-0.120426 9.39711 21
NaN NaN NaN
-0.678975 8.09554 6
-0.964085 6.70818 6
NaN NaN NaN
-0.678975 8.09554 21
-0.964085 6.70818 21
NaN NaN NaN
-0.678975 8.09554 6
-0.678975 8.09554 21
NaN NaN NaN
-0.964085 6.70818 6
-0.964085 5.29182 6
NaN NaN NaN
-0.964085 6.70818 21
-0.964085 5.29182 21
NaN NaN NaN
-0.964085 6.70818 6
-0.964085 6.70818 21
NaN NaN NaN
-0.964085 5.29182 6
-0.678975 3.90446 6
NaN NaN NaN
-0.964085 5.29182 21
-0.678975 3.90446 21
NaN NaN NaN
-0.964085 5.29182 6
-0.964085 5.29182 21
NaN NaN NaN
-0.678975 3.90446 6
-0.120426 2.60289 6
NaN NaN NaN
-0.678975 3.90446 21
-0.120426 2.60289 21
NaN NaN NaN
-0.678975 3.90446 6
-0.678975 3.90446 21
NaN NaN NaN
-0.120426 2.60289 6
0.688693 1.44039 6
NaN NaN NaN
-0.120426 2.60289 21
0.688693 1.44039 21
NaN NaN NaN
-0.120426 2.60289 6
-0.120426 2.60289 21
NaN NaN NaN
0.688693 1.44039 6
1.71526 0.46457 6
NaN NaN NaN
0.688693 1.44039 21
1.71526 0.46457 21
NaN NaN NaN
0.688693 1.44039 6
0.688693 1.44039 21
NaN NaN NaN
1.71526 0.46457 6
2.91724 -0.284632 6
NaN NaN NaN
1.71526 0.46457 21
2.91724 -0.284632 21
NaN NaN NaN
1.71526 0.46457 6
1.71526 0.46457 21
NaN NaN NaN
2.91724 -0.284632 6
4.24543 -0.77654 6
NaN NaN NaN
2.91724 -0.284632 21
4.24543 -0.77654 21
NaN NaN NaN
2.91724 -0.284632 6
2.91724 -0.284632 21
NaN NaN NaN
4.24543 -0.77654 6
5.64546 -0.991016 6
NaN NaN NaN
4.24543 -0.77654 21
5.64546 -0.991016 21
NaN NaN NaN
4.24543 -0.77654 6
4.24543 -0.77654 21
NaN NaN NaN
5.64546 -0.991016 6
7.05999 -0.919278 6
NaN NaN NaN
5.64546 -0.991016 21
7.05999 -0.919278 21
NaN NaN NaN
5.64546 -0.991016 6
5.64546 -0.991016 21
NaN NaN NaN
7.05999 -0.919278 6
8.43114 -0.564265 6
NaN NaN NaN
7.05999 -0.919278 21
8.43114 -0.564265 21
NaN NaN NaN
7.05999 -0.919278 6
7.05999 -0.919278 21
NaN NaN NaN
8.43114 -0.564265 6
9.70275 0.0594902 6
NaN NaN NaN
8.43114 -0.564265 21
9.70275 0.0594902 21
NaN NaN NaN
8.43114 -0.564265 6
8.43114 -0.564265 21
NaN NaN NaN
9.70275 0.0594902 6
10.8228 0.92645 6
NaN NaN NaN
9.70275 0.0594902 21
10.8228 0.92645 21
NaN NaN NaN
9.70275 0.0594902 6
9.70275 0.0594902 21
NaN NaN NaN
10.8228 0.92645 6
11.7453 2.00112 6
NaN NaN NaN
10.8228 0.92645 21
11.7453 2.00112 21
NaN NaN NaN
10.8228 0.92645 6
10.8228 0.92645 21
NaN NaN NaN
11.7453 2.00112 6
12.4327 3.23951 6
NaN NaN NaN
11.7453 2.00112 21
12.4327 3.23951 21
NaN NaN NaN
11.7453 2.00112 6
11.7453 2.00112 21
NaN NaN NaN
12.4327 3.23951 6
12.8567 4.59091 6
NaN NaN NaN
12.4327 3.23951 21
12.8567 4.59091 21
NaN NaN NaN
12.4327 3.23951 6
12.4327 3.23951 21
NaN NaN NaN
12.8567 4.59091 6
13 6 6
NaN NaN NaN
12.8567 4.59091 21
13 6 21
NaN NaN NaN
12.8567 4.59091 6
12.8567 4.59091 21
NaN NaN NaN
